     index            Field [G]         Intensity []
       497     3345.89696969697              6011659
       498      3345.9165200391              5990005
       499     3345.93607038123              5960363
       500     3345.95562072336              5921920
       501     3345.97517106549              5889407
       502     3345.99472140762              5854523
       503     3346.01427174976              5804560
       504     3346.03382209189              5783626
       505     3346.05337243402              5746437
       506     3346.07292277615              5692639
       507     3346.09247311828              5652320
       508     3346.11202346041              5621908
       509     3346.13157380254              5584730
       510     3346.15112414467              5530569
       511      3346.1706744868              5489722
       512     3346.19022482893              5429482
       513     3346.20977517107              5382050
       514      3346.2293255132              5329052
       515     3346.24887585533              5283320
       516     3346.26842619746              5230671
       517     3346.28797653959              5184479
       518     3346.30752688172              5125532
       519     3346.32707722385              5057999
       520     3346.34662756598              5024059
       521     3346.36617790811              4963624
       522     3346.38572825024              4904598
       523     3346.40527859237              4830096
       524     3346.42482893451              4776218
       525     3346.44437927664              4730002
       526     3346.46392961877              4669460
       527      3346.4834799609              4598881
       528     3346.50303030303              4516757
       529     3346.52258064516              4458315
       530     3346.54213098729              4410780
       531     3346.56168132942              4362282
       532     3346.58123167155              4297644
       533     3346.60078201369              4245502
       534     3346.62033235582              4158442
       535     3346.63988269795              4110223
       536     3346.65943304008              4035870
       537     3346.67898338221              3978783
       538     3346.69853372434              3896739
       539     3346.71808406647              3841891
       540      3346.7376344086              3785893
       541     3346.75718475073              3723214
       542     3346.77673509286              3664982
       543     3346.79628543499              3592136
       544     3346.81583577713              3544586
       545     3346.83538611926              3472117
       546     3346.85493646139              3412275
       547     3346.87448680352              3327084
       548     3346.89403714565              3276226
       549     3346.91358748778              3209763
       550     3346.93313782991              3156673
       551     3346.95268817204              3085776
       552     3346.97223851417              3006206
       553      3346.9917888563              2944580
       554     3347.01133919844              2880676
       555     3347.03088954057              2835585
       556      3347.0504398827              2787245
       557     3347.06999022483              2743971
       558     3347.08954056696              2646223
       559     3347.10909090909              2572144
       560     3347.12864125122              2516966
       561     3347.14819159335              2453446
       562     3347.16774193548              2391401
       563     3347.18729227761              2346688
       564     3347.20684261975              2287529
       565     3347.22639296188              2213550
       566     3347.24594330401              2143740
       567     3347.26549364614              2085899
       568     3347.28504398827              2017352
       569      3347.3045943304              1953967
       570     3347.32414467253              1926666
       571     3347.34369501466              1855216
       572     3347.36324535679              1804729
       573     3347.38279569892              1746659
       574     3347.40234604106              1688620
       575     3347.42189638319              1624949
       576     3347.44144672532              1535775
       577     3347.46099706745              1496486
       578     3347.48054740958              1445814
       579     3347.50009775171              1392534
       580     3347.51964809384              1332679
       581     3347.53919843597              1257855
       582      3347.5587487781              1187510
       583     3347.57829912023              1132869
       584     3347.59784946237              1113885
       585      3347.6173998045              1051229
       586     3347.63695014663               988527
       587     3347.65650048876               924649
       588     3347.67605083089               840342
       589     3347.69560117302               795870
       590     3347.71515151515               735009
       591     3347.73470185728               683707
       592     3347.75425219941               618308
       593     3347.77380254154               559878
       594     3347.79335288368               511673
       595     3347.81290322581               442541
       596     3347.83245356794               399484
       597     3347.85200391007               335544
       598      3347.8715542522               255373
       599     3347.89110459433               227421
       600     3347.91065493646               179143
       601     3347.93020527859                97231
       602     3347.94975562072                41966
       603     3347.96930596285               -20205
       604     3347.98885630499               -82852
       605     3348.00840664712              -133292
       606     3348.02795698925              -206176
       607     3348.04750733138              -275437
       608     3348.06705767351              -315411
       609     3348.08660801564              -341143
       610     3348.10615835777              -396043
       611      3348.1257086999              -489847
       612     3348.14525904203              -557897
       613     3348.16480938416              -615367
       614      3348.1843597263              -659612
       615     3348.20391006843              -692023
       616     3348.22346041056              -785287
       617     3348.24301075269              -867283
       618     3348.26256109482              -930666
       619     3348.28211143695              -958399
       620     3348.30166177908             -1006484
       621     3348.32121212121             -1083344
       622     3348.34076246334             -1151466
       623     3348.36031280547             -1199798
       624      3348.3798631476             -1283470
       625     3348.39941348974             -1345926
       626     3348.41896383187             -1367994
       627       3348.438514174             -1437166
       628     3348.45806451613             -1509863
       629     3348.47761485826             -1581393
       630     3348.49716520039             -1651027
       631     3348.51671554252             -1717640
       632     3348.53626588465             -1780564
       633     3348.55581622678             -1826484
       634     3348.57536656891             -1891760
       635     3348.59491691105             -1940132
       636     3348.61446725318             -2001149
       637     3348.63401759531             -2074907
       638     3348.65356793744             -2160096
       639     3348.67311827957             -2241320
       640      3348.6926686217             -2288617
       641     3348.71221896383             -2327673
       642     3348.73176930596             -2418671
       643     3348.75131964809             -2479314
       644     3348.77086999022             -2535902
       645     3348.79042033236             -2619775
       646     3348.80997067449             -2678247
       647     3348.82952101662             -2725018
       648     3348.84907135875             -2793754
       649     3348.86862170088             -2854156
       650     3348.88817204301             -2903418
       651     3348.90772238514             -2968426
       652     3348.92727272727             -3069082
       653      3348.9468230694             -3165263
       654     3348.96637341153             -3225422
       655     3348.98592375367             -3267292
       656      3349.0054740958             -3344952
       657     3349.02502443793             -3381319
       658     3349.04457478006             -3455111
       659     3349.06412512219             -3526043
       660     3349.08367546432             -3600408
       661     3349.10322580645             -3672792
       662     3349.12277614858             -3763644
       663     3349.14232649071             -3813372
       664     3349.16187683284             -3869745
       665     3349.18142717498             -3931530
       666     3349.20097751711             -4016941
       667     3349.22052785924             -4066111
       668     3349.24007820137             -4129797
       669      3349.2596285435             -4193442
       670     3349.27917888563             -4275005
       671     3349.29872922776             -4331771
       672     3349.31827956989             -4390048
       673     3349.33782991202             -4469582
       674     3349.35738025415             -4536336
       675     3349.37693059629             -4591592
       676     3349.39648093842             -4648691
       677     3349.41603128055             -4718125
       678     3349.43558162268             -4773130
       679     3349.45513196481             -4829015
       680     3349.47468230694             -4894360
       681     3349.49423264907             -4942958
       682      3349.5137829912             -5014119
       683     3349.53333333333             -5080157
       684     3349.55288367546             -5135359
       685      3349.5724340176             -5192015
       686     3349.59198435973             -5231137
       687     3349.61153470186             -5285934
       688     3349.63108504399             -5342099
       689     3349.65063538612             -5396618
       690     3349.67018572825             -5447040
       691     3349.68973607038             -5499427
       692     3349.70928641251             -5541886
       693     3349.72883675464             -5576289
       694     3349.74838709677             -5626194
       695      3349.7679374389             -5672273
       696     3349.78748778104             -5722124
       697     3349.80703812317             -5771586
       698      3349.8265884653             -5806084
       699     3349.84613880743             -5845001
       700     3349.86568914956             -5873864
       701     3349.88523949169             -5906152
       702     3349.90478983382             -5937104
       703     3349.92434017595             -5974033
       704     3349.94389051808             -5998792
       705     3349.96344086022             -6029394
       706     3349.98299120235             -6069248
       707     3350.00254154448             -6092832
       708     3350.02209188661             -6117840
       709     3350.04164222874             -6137167
       710     3350.06119257087             -6164388
       711       3350.080742913             -6178545
       712     3350.10029325513             -6193249
       713     3350.11984359726             -6212027
       714     3350.13939393939             -6226866
       715     3350.15894428152             -6237830
       716     3350.17849462366             -6242391
       717     3350.19804496579             -6246818
       718     3350.21759530792             -6254360
       719     3350.23714565005             -6257030
       720     3350.25669599218             -6254537
       721     3350.27624633431             -6249765
       722     3350.29579667644             -6244682
       723     3350.31534701857             -6233963
       724      3350.3348973607             -6223299
       725     3350.35444770283             -6206949
       726     3350.37399804497             -6192148
       727      3350.3935483871             -6170658
       728     3350.41309872923             -6148916
       729     3350.43264907136             -6123931
       730     3350.45219941349             -6095442
       731     3350.47174975562             -6062653
       732     3350.49130009775             -6025618
       733     3350.51085043988             -5988040
       734     3350.53040078201             -5947734
       735     3350.54995112414             -5908187
       736     3350.56950146628             -5854833
       737     3350.58905180841             -5805484
       738     3350.60860215054             -5752202
       739     3350.62815249267             -5698917
       740      3350.6477028348             -5637285
       741     3350.66725317693             -5580803
       742     3350.68680351906             -5516153
       743     3350.70635386119             -5451806
       744     3350.72590420332             -5383197
       745     3350.74545454545             -5312517
       746     3350.76500488759             -5245754
       747     3350.78455522972             -5171892
       748     3350.80410557185             -5091945
       749     3350.82365591398             -5009795
       750     3350.84320625611             -4940994
       751     3350.86275659824             -4868174
       752     3350.88230694037             -4785237
       753      3350.9018572825             -4708316
       754     3350.92140762463             -4627022
       755     3350.94095796676             -4538549
       756      3350.9605083089             -4457712
       757     3350.98005865103             -4373252
       758     3350.99960899316             -4283912
       759     3351.01915933529             -4206666
       760     3351.03870967742             -4136315
       761     3351.05826001955             -4055578
       762     3351.07781036168             -3982776
       763     3351.09736070381             -3897444
       764     3351.11691104594             -3825630
       765     3351.13646138807             -3758503
       766     3351.15601173021             -3687661
       767     3351.17556207234             -3623743
       768     3351.19511241447             -3545056
       769      3351.2146627566             -3473776
       770     3351.23421309873             -3406649
       771     3351.25376344086             -3342309
       772     3351.27331378299             -3286179
       773     3351.29286412512             -3217557
       774     3351.31241446725             -3158012
       775     3351.33196480938             -3099897
       776     3351.35151515151             -3033665
       777     3351.37106549365             -2985461
       778     3351.39061583578             -2924352
       779     3351.41016617791             -2874458
       780     3351.42971652004             -2817549
       781     3351.44926686217             -2769431
       782      3351.4688172043             -2717922
       783     3351.48836754643             -2673964
       784     3351.50791788856             -2620995
       785     3351.52746823069             -2562604
       786     3351.54701857282             -2520203
       787     3351.56656891496             -2487280
       788     3351.58611925709             -2455411
       789     3351.60566959922             -2402986
       790     3351.62521994135             -2352181
       791     3351.64477028348             -2323306
       792     3351.66432062561             -2275226
       793     3351.68387096774             -2229069
       794     3351.70342130987             -2192535
       795       3351.722971652             -2153544
       796     3351.74252199413             -2133383
       797     3351.76207233627             -2101910
       798      3351.7816226784             -2052956
       799     3351.80117302053             -2026101
       800     3351.82072336266             -1987749
       801     3351.84027370479             -1963025
       802     3351.85982404692             -1917972
       803     3351.87937438905             -1890855
       804     3351.89892473118             -1866244
       805     3351.91847507331             -1840866
       806     3351.93802541544             -1804675
       807     3351.95757575758             -1776139
       808     3351.97712609971             -1756587
       809     3351.99667644184             -1728989
       810     3352.01622678397             -1703092
       811      3352.0357771261             -1674952
       812     3352.05532746823             -1653793
       813     3352.07487781036             -1628481
       814     3352.09442815249             -1598789
       815     3352.11397849462             -1574529
       816     3352.13352883675             -1551106
       817     3352.15307917889             -1534230
       818     3352.17262952102             -1515328
       819     3352.19217986315             -1494616
       820     3352.21173020528             -1472383
       821     3352.23128054741             -1447624
       822     3352.25083088954             -1428104
       823     3352.27038123167             -1415181
       824      3352.2899315738             -1386539
       825     3352.30948191593             -1365777
       826     3352.32903225806             -1349779
       827      3352.3485826002             -1328738
       828     3352.36813294233             -1314993
       829     3352.38768328446             -1294207
       830     3352.40723362659             -1279247
       831     3352.42678396872             -1266363
       832     3352.44633431085             -1243019
       833     3352.46588465298             -1227096
       834     3352.48543499511             -1209690
       835     3352.50498533724             -1193702
       836     3352.52453567937             -1178745
       837     3352.54408602151             -1166770
       838     3352.56363636364             -1153296
       839     3352.58318670577             -1140874
       840      3352.6027370479             -1130195
       841     3352.62228739003             -1106825
       842     3352.64183773216             -1095115
       843     3352.66138807429             -1084807
       844     3352.68093841642             -1069064
       845     3352.70048875855             -1055680
       846     3352.72003910068             -1043110
       847     3352.73958944282             -1031736
       848     3352.75913978495             -1018500
       849     3352.77869012708             -1006951
       850     3352.79824046921              -995977
       851     3352.81779081134              -984982
       852     3352.83734115347              -973881
       853      3352.8568914956              -963584
       854     3352.87644183773              -950112
       855     3352.89599217986              -939540
       856     3352.91554252199              -925840
       857     3352.93509286412              -913934
       858     3352.95464320626              -902802
       859     3352.97419354839              -895292
       860     3352.99374389052              -888213
       861     3353.01329423265              -879943
       862     3353.03284457478              -867595
       863     3353.05239491691              -854357
       864     3353.07194525904              -848681
       865     3353.09149560117              -838406
       866      3353.1110459433              -833940
       867     3353.13059628543              -822814
       868     3353.15014662757              -810214
       869      3353.1696969697              -799689
       870     3353.18924731183              -793956
       871     3353.20879765396              -787410
       872     3353.22834799609              -779098
       873     3353.24789833822              -769928
       874     3353.26744868035              -761005
       875     3353.28699902248              -756076
       876     3353.30654936461              -745922
       877     3353.32609970674              -740654
       878     3353.34565004888              -726642
       879     3353.36520039101              -724402
       880     3353.38475073314              -717660
       881     3353.40430107527              -713460
       882      3353.4238514174              -702861
       883     3353.44340175953              -693021
       884     3353.46295210166              -686498
       885     3353.48250244379              -682521
       886     3353.50205278592              -675608
       887     3353.52160312805              -669857
       888     3353.54115347019              -663105
       889     3353.56070381232              -656533
       890     3353.58025415445              -649084
       891     3353.59980449658              -641308
       892     3353.61935483871              -635639
       893     3353.63890518084              -629053
       894     3353.65845552297              -623089
       895      3353.6780058651              -618976
       896     3353.69755620723              -610300
       897     3353.71710654936              -605183
       898      3353.7366568915              -601702
       899     3353.75620723363              -597144
       900     3353.77575757576              -592740
       901     3353.79530791789              -585681
       902     3353.81485826002              -579251
       903     3353.83440860215              -573162
       904     3353.85395894428              -567685
       905     3353.87350928641              -564858
       906     3353.89305962854              -558262
       907     3353.91260997067              -551732
       908     3353.93216031281              -550459
       909     3353.95171065494              -546134
       910     3353.97126099707              -538608
       911      3353.9908113392              -532462
       912     3354.01036168133              -528497
       913     3354.02991202346              -525705
       914     3354.04946236559              -522813
       915     3354.06901270772              -516405
       916     3354.08856304985              -510906
       917     3354.10811339198              -504909
       918     3354.12766373412              -501246
       919     3354.14721407625              -499108
       920     3354.16676441838              -493341
       921     3354.18631476051              -489916
       922     3354.20586510264              -485979
       923     3354.22541544477              -482466
       924      3354.2449657869              -476514
       925     3354.26451612903              -473660
       926     3354.28406647116              -469587
       927     3354.30361681329              -464437
       928     3354.32316715542              -460273
       929     3354.34271749756              -458519
       930     3354.36226783969              -453980
       931     3354.38181818182              -448975
       932     3354.40136852395              -448247
       933     3354.42091886608              -443805
       934     3354.44046920821              -437151
       935     3354.46001955034              -434138
       936     3354.47956989247              -433717
       937      3354.4991202346              -428472
       938     3354.51867057674              -425237
       939     3354.53822091887              -422532
